Annotation Symbol,Brain_female,Brain_male,Carcass_female,Carcass_male,Eye_female,Eye_male,MTube_fem,MTube_male,SGland_female,SGland_male
CG32241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CG6627,5.7,5.6,4.0,3.8,15.0,18.0,4.8,4.2,3.3,2.8
CG12512,6.0,4.3,19.0,20.0,29.0,22.0,100.0,108.0,32.0,40.0
CG6128,3.0,3.3,8.6,9.2,4.8,4.5,0.5,0.6,2.8,8.8
CG13607,4.8,1.5,140.0,87.0,92.0,36.0,2.0,1.4,4.2,9.8
CG7099,2.0,2.1,1.2,1.0,1.3,1.5,1.2,1.3,1.1,1.4
CG2595,0.3,0.2,0.0,0.6,0.0,0.1,0.0,0.2,0.1,0.1
CG11298,1.0,1.1,0.0,1.1,0.5,0.5,0.0,1.2,0.1,0.4
CG3809,0.0,0.0,0.0,1.9,0.0,0.1,0.1,1.6,0.0,0.4
CG31043,3.2,3.4,4.4,3.0,3.7,4.1,7.4,6.7,1.6,1.9
CG13073,0.4,0.3,0.2,0.1,0.7,0.7,0.0,0.0,0.0,0.0
CG42450,23.0,26.0,0.8,1.1,6.6,7.1,0.2,0.1,0.3,0.7
CG14075,24.0,26.0,0.9,3.2,2.0,1.0,0.0,0.2,0.4,3.9
CG17283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CG1475,218.0,178.0,1080.0,591.0,1275.0,620.0,837.0,607.0,666.0,768.0
CG32592,19.0,21.0,0.8,1.1,7.4,11.0,3.0,3.8,0.4,0.8
CG42662,0.6,0.2,6.0,9.5,5.1,10.0,0.5,1.1,0.3,1.6
CG14032,4.1,3.1,21.0,50.0,35.0,30.0,1.2,2.3,3.3,7.4
CG8297,11.0,11.0,11.0,11.0,13.0,15.0,9.3,8.8,8.3,11.0
CG34378,31.0,34.0,1.1,1.5,5.1,8.1,0.6,0.5,0.6,1.2
CG3540,0.1,0.1,0.0,0.3,0.0,0.1,0.3,1.6,0.0,0.0
CG18455,2.4,2.8,0.0,0.3,7.0,8.4,0.0,0.2,0.0,0.1
CG8234,1.3,1.6,1.8,2.1,1.7,1.7,0.6,0.8,0.4,0.6
CG33198,11.0,10.0,8.3,11.0,13.0,13.0,10.0,14.0,9.9,13.0
CG14376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CG17800,8.5,9.8,1.2,1.3,3.7,5.2,1.7,2.0,0.4,0.6
CG31832,2.8,2.9,21.0,51.0,0.5,0.7,0.1,0.3,0.3,1.4
CG42762,0.8,0.9,0.9,0.7,0.7,0.8,0.7,0.9,1.2,0.9
CG16964,0.0,0.0,0.0,1.9,0.0,0.0,0.0,1.2,0.0,0.3
CG3054,6.0,6.3,5.6,5.1,6.9,8.6,8.9,9.0,7.2,7.3
CG11604,1.9,1.7,6.5,2.0,3.0,1.5,3.1,1.8,5.3,2.3
CG9283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CG42382,5.1,4.3,2.9,2.9,4.8,4.4,2.2,1.9,2.9,3.8
CG6363,5.1,5.5,7.2,6.3,7.5,6.9,5.2,4.5,5.9,6.1
CG10702,12.0,10.0,1.7,1.5,6.4,7.9,0.6,0.4,1.6,1.0
CG9295,0.0,0.0,0.1,0.4,0.4,3.0,0.0,0.0,0.0,0.1
CG4719,6.9,7.6,3.0,3.0,7.3,9.7,3.5,3.3,4.7,5.9
CG10588,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.3,0.0,0.1
CG15078,14.0,16.0,3.9,5.4,6.2,8.0,0.8,0.7,6.0,7.2
CG42230,1.3,0.7,6.2,6.4,3.9,4.6,1.5,1.7,13.0,24.0
CG5626,1.5,1.5,0.9,0.7,0.7,0.7,0.5,0.6,1.6,0.8
CG10624,10.0,11.0,8.2,8.3,11.0,13.0,3.6,3.4,15.0,24.0
CG6803,18.0,44.0,2871.0,4373.0,84.0,69.0,14.0,13.0,205.0,902.0
CG14899,11.0,11.0,20.0,22.0,16.0,18.0,13.0,14.0,28.0,31.0
CG12299,7.6,8.2,1.5,0.9,4.3,4.8,1.4,0.9,2.4,0.8
CG31076,0.0,0.0,0.5,0.6,2.5,3.6,44.0,46.0,0.9,2.6
CG43351,17.0,7.8,360.0,530.0,337.0,224.0,11.0,13.0,20.0,62.0
CG8646,0.6,0.9,0.8,2.8,2.6,3.6,1.5,1.4,0.4,1.1
CG12586,0.2,0.4,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
CG3956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CG2116,5.8,4.8,7.0,5.6,7.0,5.9,8.2,7.7,6.9,7.7
CG11051,497.0,115.0,9592.0,8083.0,8069.0,3622.0,175.0,87.0,325.0,716.0
CG2206,23.0,23.0,23.0,27.0,31.0,33.0,40.0,35.0,15.0,18.0
CG1115,13.0,12.0,14.0,15.0,16.0,16.0,16.0,12.0,10.0,16.0
CG4739,0.0,0.0,0.9,0.8,0.3,0.3,7.8,6.6,0.4,0.6
CG14208,0.1,0.1,0.2,0.4,0.2,0.1,0.7,0.5,0.0,0.0
CG6050,18.0,20.0,43.0,41.0,25.0,22.0,35.0,30.0,21.0,30.0
CG32165,0.4,0.4,0.5,1.3,0.5,0.4,0.4,1.3,1.0,0.9
CG6933,0.0,0.0,0.1,0.0,0.0,0.0,1.9,0.4,0.0,0.0
CG42569,2.5,2.8,3.5,2.3,2.0,2.1,2.0,2.2,4.3,2.5
CG4938,8.1,8.0,6.2,6.1,6.4,6.3,6.4,7.5,3.8,4.5
CG17387,0.1,0.1,0.0,0.6,0.0,0.0,0.1,0.4,0.0,0.2
CG4952,7.5,8.4,0.3,0.4,2.6,3.6,0.5,0.5,0.1,0.1
